2022-02-05T00:50:17.092Z | info | Mapped {/boards, POST} route;
2022-02-05T00:50:17.094Z | info | Mapped {/boards, GET} route;
2022-02-05T00:50:17.095Z | info | Mapped {/boards/:id, GET} route;
2022-02-05T00:50:17.097Z | info | Mapped {/boards/:id, PUT} route;
2022-02-05T00:50:17.098Z | info | Mapped {/boards/:id, DELETE} route;
2022-02-05T00:50:17.099Z | info | TaskController {/boards/:boardId}:;
2022-02-05T00:50:17.101Z | info | Mapped {/boards/:boardId/tasks, POST} route;
2022-02-05T00:50:17.102Z | info | Mapped {/boards/:boardId/tasks, GET} route;
2022-02-05T00:50:17.103Z | info | Mapped {/boards/:boardId/tasks/:taskId, GET} route;
2022-02-05T00:50:17.104Z | info | Mapped {/boards/:boardId/tasks/:taskId, PUT} route;
2022-02-05T00:50:17.106Z | info | Mapped {/boards/:boardId/tasks/:taskId, DELETE} route;
2022-02-05T00:50:17.106Z | info | LoginController {/login}:;
2022-02-05T00:50:17.107Z | info | Mapped {/login, POST} route;
2022-02-05T00:50:17.111Z | info | Nest application successfully started;
2022-02-05T00:50:17.120Z | info | Server started on port 4000;
2022-02-05T00:52:02.555Z | info | Starting Nest application...;
2022-02-05T00:52:02.633Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:52:02.633Z | info | ColumnModule dependencies initialized;
2022-02-05T00:52:02.633Z | info | AppModule dependencies initialized;
2022-02-05T00:52:02.722Z | info | TypeOrmCoreModule dependencies initialized;
2022-02-05T00:52:02.722Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:52:02.722Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:52:02.722Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:52:02.723Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:52:02.727Z | info | UserModule dependencies initialized;
2022-02-05T00:52:02.727Z | info | BoardModule dependencies initialized;
2022-02-05T00:52:02.727Z | info | LoginModule dependencies initialized;
2022-02-05T00:52:02.727Z | info | TaskModule dependencies initialized;
2022-02-05T00:52:02.774Z | info | UserController {/users}:;
2022-02-05T00:52:02.778Z | info | Mapped {/users, POST} route;
2022-02-05T00:52:02.779Z | info | Mapped {/users, GET} route;
2022-02-05T00:52:02.780Z | info | Mapped {/users/:id, GET} route;
2022-02-05T00:52:02.781Z | info | Mapped {/users/:id, PUT} route;
2022-02-05T00:52:02.782Z | info | Mapped {/users/:id, DELETE} route;
2022-02-05T00:52:02.782Z | info | BoardController {/boards}:;
2022-02-05T00:52:02.783Z | info | Mapped {/boards, POST} route;
2022-02-05T00:52:02.784Z | info | Mapped {/boards, GET} route;
2022-02-05T00:52:02.785Z | info | Mapped {/boards/:id, GET} route;
